sep=,
TIME,CH0,
00:00:00,1.743450,
00:00:00,1.739510,
00:00:01,1.741480,
00:00:01,1.740495,
00:00:01,1.740495,
00:00:02,1.740495,
00:00:02,1.741480,
00:00:02,1.739510,
00:00:02,1.740495,
00:00:02,1.740495,
00:00:03,1.743450,
00:00:03,1.743450,
00:00:03,1.740495,
00:00:04,1.742465,
00:00:04,1.741480,
00:00:04,1.741480,
00:00:05,1.740495,
00:00:05,1.740495,
00:00:06,1.740495,
00:00:06,1.741480,
00:00:06,1.742465,
00:00:07,1.741480,
00:00:07,1.743450,
00:00:07,1.742465,
00:00:07,1.742465,
00:00:08,1.741480,
00:00:08,1.741480,
00:00:08,1.742465,
00:00:08,1.743450,
00:00:09,1.742465,
00:00:09,1.744435,
00:00:09,1.745420,
00:00:10,1.745420,
00:00:11,1.742465,
00:00:11,1.744435,
00:00:11,1.744435,
00:00:11,1.744435,
00:00:12,1.744435,
00:00:12,1.743450,
00:00:12,1.742465,
00:00:13,1.742465,
00:00:13,1.743450,
00:00:13,1.744435,
00:00:14,1.744435,
00:00:14,1.743450,
00:00:14,1.742465,
00:00:15,1.741480,
00:00:15,1.742465,
00:00:15,1.742465,
00:00:16,1.743450,
00:00:16,1.741480,
00:00:16,1.741480,
00:00:16,1.741480,
00:00:17,1.741480,
00:00:17,1.743450,
00:00:18,1.742465,
00:00:18,1.742465,
00:00:18,1.741480,
00:00:19,1.742465,
00:00:19,1.743450,
00:00:19,1.743450,
00:00:20,1.740495,
00:00:20,1.739510,
00:00:20,1.741480,
00:00:20,1.741480,
00:00:21,1.738525,
00:00:21,1.739510,
00:00:21,1.739510,
00:00:22,1.738525,
00:00:22,1.741480,
00:00:23,1.741480,
00:00:23,1.741480,
00:00:24,1.741480,
00:00:24,1.740495,
00:00:24,1.739510,
00:00:25,1.740495,
00:00:25,1.741480,
00:00:25,1.740495,
00:00:26,1.741480,
00:00:26,1.740495,
00:00:26,1.740495,
00:00:27,1.742465,
00:00:27,1.741480,
00:00:27,1.741480,
00:00:28,1.742465,
00:00:28,1.740495,
00:00:28,1.743450,
00:00:28,1.742465,
00:00:28,1.743450,
00:00:29,1.741480,
00:00:29,1.742465,
00:00:30,1.740495,
00:00:30,1.740495,
00:00:30,1.743450,
00:00:30,1.740495,
00:00:31,1.741480,
00:00:31,1.742465,
00:00:31,1.744435,
00:00:31,1.744435,
00:00:31,1.744435,
00:00:32,1.744435,
00:00:32,1.745420,
00:00:33,1.744435,
00:00:33,1.745420,
00:00:33,1.745420,
00:00:34,1.745420,
00:00:34,1.745420,
00:00:34,1.745420,
00:00:35,1.744435,
00:00:35,1.745420,
00:00:35,1.745420,
00:00:35,1.744435,
00:00:36,1.742465,
00:00:36,1.744435,
00:00:37,1.742465,
00:00:37,1.744435,
00:00:37,1.741480,
00:00:38,1.742465,
00:00:38,1.743450,
00:00:38,1.744435,
00:00:39,1.743450,
00:00:39,1.742465,
00:00:39,1.741480,
00:00:39,1.741480,
00:00:40,1.743450,
00:00:40,1.742465,
00:00:40,1.743450,
00:00:40,1.741480,
00:00:41,1.741480,
00:00:41,1.742465,
00:00:41,1.741480,
00:00:41,1.745420,
00:00:41,1.744435,
00:00:42,1.743450,
00:00:42,1.744435,
00:00:42,1.742465,
00:00:42,1.742465,
00:00:42,1.740495,
00:00:43,1.741480,
00:00:43,1.742465,
00:00:43,1.743450,
00:00:43,1.742465,
00:00:44,1.741480,
00:00:44,1.740495,
00:00:44,1.744435,
00:00:44,1.735570,
00:00:45,1.737540,
00:00:45,1.737540,
00:00:45,1.736555,
00:00:45,1.736555,
00:00:45,1.739510,
00:00:46,1.741480,
00:00:46,1.742465,
00:00:46,1.743450,
00:00:47,1.741480,
00:00:47,1.743450,
00:00:47,1.743450,
00:00:47,1.742465,
00:00:48,1.741480,
00:00:48,1.742465,
00:00:48,1.743450,
00:00:49,1.743450,
00:00:49,1.744435,
00:00:49,1.743450,
00:00:50,1.743450,
00:00:50,1.743450,
00:00:50,1.743450,
00:00:51,1.741480,
00:00:51,1.741480,
00:00:51,1.743450,
00:00:51,1.742465,
00:00:51,1.740495,
00:00:52,1.739510,
00:00:52,1.734585,
00:00:52,1.735570,
00:00:52,1.735570,
00:00:52,1.736555,
00:00:53,1.739510,
00:00:53,1.740495,
00:00:53,1.742465,
00:00:54,1.796640,
00:00:54,1.734585,
00:00:54,1.730645,
00:00:54,1.730645,
00:00:54,1.731630,
00:00:55,1.732615,
00:00:55,1.760195,
00:00:55,1.745420,
00:00:55,1.743450,
00:00:56,1.743450,
00:00:56,1.741480,
00:00:56,1.742465,
00:00:57,1.740495,
00:00:57,1.741480,
00:00:57,1.744435,
00:00:57,1.742465,
00:00:57,1.743450,
00:00:58,1.741480,
00:00:58,1.743450,
00:00:58,1.741480,
00:00:59,1.742465,
00:00:59,1.740495,
00:00:59,1.741480,
00:01:00,1.740495,
00:01:00,1.742465,
00:01:00,1.741480,
00:01:00,1.741480,
00:01:01,1.740495,
